"lnRR","Env_Type"
"0.61796342","PFR"
"0.764540554","PFR"
"0.705243637","PFR"
"0.259340788","GFR"
"0.465096887","GFR"
"0.483839904","GFR"
"0.484273965","GFR"
"0.32617488","GFR"
"0.398017182","GFR"
"0.415438229","GFR"
"0.579599312","GFR"
"0.264508872","GFR"
"0.448622941","GFR"
"0.529492589","GFR"
"0.625731817","GFR"
"0.519649728","GFR"
"0.837463921","GFR"
"0.830172559","GFR"
"0.799636755","GFR"
"0.225160749","GFR"
"0.357061187","GFR"
"0.549095125","GFR"
"0.264411987","GFR"
"0.368590295","GFR"
"0.43235371","GFR"
"0.47245194","GFR"
"0.199123544","GFR"
"0.456585477","GFR"
"0.355106136","GFR"
"0.579136322","GFR"
"0.143078358","GFR"
"0.346780785","GFR"
"0.494428397","GFR"
"0.426680889","GFR"
"0.47516013","GFR"
"0.668451527","GFR"
"0.767126746","GFR"
"0.781182765","GFR"
"0.102998305","GFR"
"0.231504216","GFR"
"0.345382205","GFR"
"0.321586369","GFR"
"0.388016933","GFR"
"0.437821806","GFR"
"0.636820256","GFR"
"0.484679214","GFR"
"0.41967345","GFR"
"0.597011005","GFR"
"0.557593197","GFR"
"0.652102461","GFR"
"0.31567778","GFR"
"0.52931267","GFR"
"0.446841716","GFR"
"0.554499604","GFR"
"0.668029472","GFR"
"0.914885777","GFR"
"0.97013625","GFR"
"1.072453774","GFR"
"0.243649621","GFR"
"0.370281495","GFR"
"0.640258177","GFR"
"0.438495517","GFR"
"0.392636841","GFR"
"0.553592097","GFR"
"0.498476678","GFR"
"0.486581211","GFR"
"0.571905901","GFR"
"0.750701345","GFR"
"0.777340082","GFR"
"0.785744111","GFR"
"0.303466629","GFR"
"0.570024925","GFR"
"0.500403811","GFR"
"0.61030962","GFR"
"0.416055234","GFR"
"0.815071632","GFR"
"0.832861323","GFR"
"0.910221013","GFR"
"0.513134608","GFR"
"0.78364549","GFR"
"0.742908885","GFR"
"0.840498375","GFR"
"0.225224718","PFR"
"0.335355542","PFR"
"0.18741534","GFR"
"0.294621726","GFR"
"0.240172252","PFR"
